biopsy.site	data.source	sample.type	n_samples
BRAIN - AMYGDALA	GTEX	normal	3
BRAIN - CAUDATE (BASAL GANGLIA)	GTEX	normal	1
BRAIN - CEREBELLAR HEMISPHERE	GTEX	normal	3
BRAIN - CEREBELLUM	GTEX	normal	6
BRAIN - CORTEX	GTEX	normal	1
BRAIN - FRONTAL CORTEX (BA9)	GTEX	normal	1
BRAIN - HYPOTHALAMUS	GTEX	normal	1
BRAIN - NUCLEUS ACCUMBENS (BASAL GANGLIA)	GTEX	normal	3
BREAST - MAMMARY TISSUE	GTEX	normal	6
ENDOMETRIUM	TCGA	adjacent	4
ESOPHAGUS	TCGA	adjacent	1
FALLOPIAN TUBE	GTEX	normal	2
KIDNEY	TCGA	adjacent	18
KIDNEY - CORTEX	GTEX	normal	8
Kidney	TARGET	adjacent	10
OVARY	GTEX	normal	88
OVARY	TCGA	primary	419
OVARY	TCGA	recurrent	7
PITUITARY	GTEX	normal	8
STOMACH	TCGA	adjacent	2
THYROID	GTEX	normal	5
THYROID GLAND	TCGA	adjacent	3
UTERUS	GTEX	normal	2
