ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03010	Ribosome	166	0.6565966174686302	3.1694490097579	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	3028	tags=64%, list=19%, signal=52%	11222/6142/6158/65005/51253/6156/6187/6171/6169/65003/7311/6218/6167/64928/6168/6204/6165/6217/6155/6188/51073/6132/11224/200916/6138/6161/6201/6193/6136/6209/6224/6159/6202/6175/6157/10399/57129/6227/7818/6173/4736/6232/6134/79590/64960/51373/6191/100008587/29088/6222/6176/6181/6125/6234/6141/6182/6183/56945/51263/6235/28998/6170/29093/6208/55168/51069/3921/25873/6205/6231/51021/6223/64978/6128/51258/6152/219927/6230/51116/6194/65993/6203/6229/10884/9045/2197/116540/6137/64979/23521/6144/51642/6124/388524/54460/6210/6207/6233/64949/6135/6139/122704/128308/6133/55173/6129
hsa04110	Cell cycle	155	0.6137102304752173	2.929932529858473	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	1556	tags=37%, list=10%, signal=33%	113130/9319/7272/991/1869/151648/699/995/1029/9133/5347/4171/891/9700/898/701/9212/81620/9088/983/23594/10403/4998/10926/9232/8318/4085/1870/890/990/90381/993/6502/27127/1019/4173/1111/11200/157570/1871/1017/4174/27085/4175/26271/5111/4176/1875/8900/7534/5001/57082/9134/10459/1030/7157/4609
hsa05322	Systemic lupus erythematosus	84	0.6408729603097552	2.7836658227571234	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	2799	tags=62%, list=18%, signal=51%	8364/3014/717/6628/92815/8355/8336/8329/85236/714/7124/8970/8363/8357/713/6632/8969/8345/942/718/723790/712/3020/2209/3586/9555/126961/333932/8365/2212/3012/3013/8338/2214/941/3120/54145/3115/3015/3122/81/8341/8347/3117/3113/3123/87/55506/3119/3108/128312/8351
hsa05171	Coronavirus disease - COVID-19	196	0.5234870687965929	2.5914163802648336	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	2734	tags=51%, list=17%, signal=42%	6142/717/6158/3627/4600/6156/629/6187/6171/6169/7311/6218/9636/6167/6168/6204/714/7124/6165/6217/6155/6188/6132/11224/200916/5296/6138/6161/4940/6201/6193/6136/5610/4939/6209/713/6224/5970/6159/6202/6175/6157/6227/9641/718/6173/4938/4736/4615/6232/712/6134/6191/6222/6176/1536/6181/6125/6234/6141/6868/6235/2212/6170/3654/6208/3921/25873/6205/6231/6223/6128/6152/115004/719/7132/6230/3455/103/6194/4599/6203/6229/9045/2197/6137/23521/6144/51284/6124/388524/23586/6210/6207/6233/6135/3570/6139/51311
hsa03008	Ribosome biogenesis in eukaryotes	79	0.5934928709302002	2.534080150629455	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	3700	tags=61%, list=23%, signal=47%	10557/10799/23160/29107/10248/55651/10528/6023/1460/10813/1457/10556/5901/2091/29889/3692/100008587/55916/10885/51602/84128/92856/54433/6949/780851/83732/23560/55127/84916/26354/55505/55272/1736/10775/7514/22803/283106/54552/780852/29102/10436/55226/51068/28987/4931/55341/54913/26851
hsa03040	Spliceosome	149	0.49392042437618	2.330300849925654	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	3235	tags=44%, list=20%, signal=36%	10262/6628/22827/10465/10713/84321/6626/57819/6631/25804/4116/6635/10189/55110/6629/6636/27258/6632/6633/55696/6427/10523/51634/26870/6060/26863/26869/26871/6434/8896/494115/6637/26864/27316/51729/9410/6100/55660/79228/80145/10946/9939/51690/5093/9775/11157/8175/23658/51691/9128/57461/26834/9343/26835/10285/11017/8683/84844/3312/6627/51645/3183/10907/10084/22916/9092
hsa04020	Calcium signaling pathway	199	-0.4553130403716883	-2.2901366173276774	1e-10	5.0285714285714286e-9	2.9323308270676697e-9	4251	tags=49%, list=27%, signal=36%	57172/2252/5579/4233/5731/2264/401152/3707/3357/801/818/5332/5255/3706/5154/1139/5159/7039/23236/7942/5256/5350/5335/56413/4638/5260/57620/5532/2254/5156/552/116444/89832/492/219931/623/4916/100130933/5578/444/1956/4485/2261/80228/6262/8536/340156/108/5153/845/153/53373/5737/775/817/154/3082/2185/115/6543/107/6263/489/5257/2324/196883/8911/3270/291/185/5533/1910/2905/5136/57105/5336/5733/3791/2246/2767/8912/814/5137/816/624/2902/776/2774/5567/2321/135/2247/84812/3708/4915/9630/1950
hsa03030	DNA replication	35	0.7429334806893805	2.6941578195489475	2.2477865156253718e-10	9.890260668751636e-9	5.767346980880888e-9	1510	tags=60%, list=10%, signal=54%	4171/5984/10535/5982/5558/5427/5983/4173/23649/4174/4175/5111/2237/4176/6742/1763/54107/5424/5985/246243/5425
hsa00071	Fatty acid degradation	38	-0.6743212112373084	-2.4778017351251873	1.686963235144764e-8	6.597900653010633e-7	3.847460009979287e-7	2374	tags=55%, list=15%, signal=47%	10455/1374/1962/217/34/1375/125/224/23205/35/3032/30/10449/223/23305/126/37/38/36/33/2180
hsa03082	ATP-dependent chromatin remodeling	105	0.48511769080706313	2.1692528186976014	2.502796891354169e-8	8.809845057566676e-7	5.137319934884874e-7	2873	tags=40%, list=18%, signal=33%	6944/3014/54108/92815/8336/86/8329/8607/55257/124944/8089/8099/54107/8969/10467/6599/723790/54815/11177/9555/29844/9219/3012/57459/3013/8338/6603/5977/10856/83444/5928/3015/60/6602/9274/3066/64769/57504/71/9112/55506/9031
