Description	Direction
Ribosome	Up
Prion disease	Up
Cell cycle	Up
Parkinson disease	Up
Huntington disease	Up
Alzheimer disease	Up
Amyotrophic lateral sclerosis	Up
Proteasome	Up
Antigen processing and presentation	Up
Systemic lupus erythematosus	Up
Pathogenic Escherichia coli infection	Up
Viral protein interaction with cytokine and cytokine receptor	Up
Hormone signaling	Down
Epstein-Barr virus infection	Up
Type I diabetes mellitus	Up
Graft-versus-host disease	Up
Allograft rejection	Up
Intestinal immune network for IgA production	Up
Phagosome	Up
Asthma	Up
Cortisol synthesis and secretion	Down
Staphylococcus aureus infection	Up
Cytokine-cytokine receptor interaction	Up
Influenza A	Up
DNA replication	Up
Phospholipase D signaling pathway	Down
N-Glycan biosynthesis	Up
Vascular smooth muscle contraction	Down
Viral myocarditis	Up
Primary immunodeficiency	Up
Ovarian steroidogenesis	Down
Calcium signaling pathway	Down
Hepatitis C	Up
Aldosterone synthesis and secretion	Down
GnRH signaling pathway	Down
Neutrophil extracellular trap formation	Up
Ras signaling pathway	Down
cGMP-PKG signaling pathway	Down
Inflammatory bowel disease	Up
Human T-cell leukemia virus 1 infection	Up
ABC transporters	Down
Circadian rhythm	Down
Parathyroid hormone synthesis, secretion and action	Down
Glutamatergic synapse	Down
Phosphatidylinositol signaling system	Down
Viral carcinogenesis	Up
Leishmaniasis	Up
Oxytocin signaling pathway	Down
Growth hormone synthesis, secretion and action	Down
Herpes simplex virus 1 infection	Up
Circadian entrainment	Down
Oocyte meiosis	Up
Cytosolic DNA-sensing pathway	Up
