ID_ovary	Description	setSize_ovary	enrichmentScore_ovary	NES_ovary	pvalue_ovary	p.adjust_ovary	qvalue_ovary	rank_ovary	leading_edge_ovary	core_enrichment_ovary	Direction	ID_ref	setSize_ref	enrichmentScore_ref	NES_ref	pvalue_ref	p.adjust_ref	qvalue_ref	rank_ref	leading_edge_ref	core_enrichment_ref
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS	259	0.5245151405121299	2.45133110791188	1.2888490818801207e-20	1.6909699954267187e-17	1.1965946212823859e-17	2977	tags=44%, list=19%, signal=36%	991/11065/151648/332/9133/1029/995/1058/983/9088/701/147841/81930/55143/9156/11004/9212/220134/891/699/83540/11130/8318/79019/1063/57405/5347/4171/51512/641/4085/10403/8364/898/55388/63967/55839/57082/64105/8900/4173/990/5690/23594/91687/5691/27338/1062/10213/64326/55920/3014/4998/8345/85236/5686/54821/116028/8655/83695/5932/8363/7529/11047/5714/5683/151246/5982/64946/8970/6119/7534/1111/5693/25906/80010/7324/11243/80776/890/51529/79023/25936/8365/348235/79980/79184/5692/7334/5983/8347/7531/5984/3619/5708/8370/7321/5704/54145/5694/378708/5687/7336/554313/993/29086/25946/5701/5685/5688/5525/1763/22919	Up	REACTOME_CELL_CYCLE_CHECKPOINTS	258	0.6135559165082478	3.1896922877713463	7.413597594694719e-38	3.242213348079824e-35	1.9535479977599069e-35	3109	tags=55%, list=20%, signal=45%	11004/83540/1058/991/11065/151648/699/995/1029/9133/147841/5347/55143/4171/891/332/9156/81930/898/57405/701/91687/8364/55388/9212/1063/9088/54821/983/23594/5984/220134/51512/2491/10403/55920/4998/10926/151246/3014/8318/4085/27338/890/64946/990/5690/63967/64105/5982/993/11130/1062/55839/5983/4173/1111/11200/83990/79019/64326/7311/1017/4174/116028/11073/5501/85236/4175/54908/8970/580/8363/4176/79980/83695/8900/7324/1763/11047/55055/5692/7534/8345/5708/3619/5714/5985/6232/5001/57082/5683/9134/9735/5704/8365/7321/79023/29086/7979/7157/25936/5688/5686/641/5691/8655/57122/79172/5687/10971/55166/84515/54145/11243/9184/10213/5682/8341/7514/8347/5693/5685/5810/6233/81929/54820/51529/128312/4172/8317/2810/348235/5700/5701/51230/9183/22919/80010/6396/8370
REACTOME_TRANSLATION	REACTOME_TRANSLATION	288	0.5011346797846685	2.36196169885532	6.504281652823864e-19	4.266808764252454e-16	3.0193560093634988e-16	5490	tags=57%, list=35%, signal=38%	11222/116832/6184/64928/57129/29088/92935/25973/55157/6182/55168/7965/9801/28998/5464/64981/6726/51021/6183/51253/51373/64963/64960/65993/65005/65080/10102/8894/65003/54998/23471/118487/28972/7818/51069/51258/28957/1978/3396/51067/9521/90480/55173/10884/51642/29093/60488/51263/6158/6897/79590/2193/63875/64979/7453/51121/6142/9789/6748/6745/51318/51073/122704/51649/7284/6185/116540/9553/56945/51650/64949/219927/51081/327/1615/4528/64976/29074/10667/26986/54460/28973/64978/6155/51116/7311/64951/1650/54148/55052/6746/51504/92259/10573/64968/2617/8669/128308/6728/5917/9669/23480/6747/10480/28977/58477/54948/6218/740/27335/27068/6157/6227/6169/11224/10952/80222/6204/6168/85476/6209/6234/4677/63931/6167/65008/29927/8892/51023/8565/200916/6171/51264/6235/8668/6132/2935/10056/10352/6187/26284/1965/90701/6156/7407/6159/116541/6731/6136/8667/6161/79731/6208/6734/6176/54938/6201/6170/6224/6231/6138/1977/5859/1981	Up	REACTOME_TRANSLATION	288	0.604487238871322	3.1692730276957186	3.6050978408685518e-40	2.36494418360977e-37	1.4249623571012017e-37	3883	tags=62%, list=24%, signal=48%	11222/116832/25973/6142/26986/6158/65005/51253/6184/1978/6156/8894/51067/6187/10480/6171/6169/65003/7311/6218/6167/64928/92935/6168/6204/6165/6217/6155/8667/6188/51073/5464/6132/11224/200916/6897/6138/6746/6161/6201/6193/6136/6209/6224/6159/6202/6175/6157/10056/1973/57129/6227/1650/7818/6173/4736/6232/6134/79590/64960/3646/51373/6191/29088/6222/6176/6181/6125/6745/6234/6141/6182/6183/2193/56945/51263/6235/28998/6170/29093/6726/6208/55157/55168/51069/51504/3921/6747/25873/90480/6205/6231/51021/1968/6223/64978/6128/51258/6152/219927/6230/51116/1615/6185/6194/65993/7407/1936/6731/6203/8565/6229/10884/9045/7965/2197/116540/6137/80222/64979/23521/6144/1981/51642/6124/54460/1933/6210/8668/6207/6233/64949/5018/2617/5917/6135/6139/10352/23471/8666/122704/128308/6133/55173/10102/1937/6129/28972/8665/9789/51023/3396/29074/9669/51121/6143/1965/5859/79731/6748/6189/1967/10952/65080/54998/6147/118487/8662/8663/7453/23480/64963/9349/6160/6734/8664/60488/57038
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	93	0.6584384448605726	2.7339634960180583	2.056210873522423e-17	8.992495553538063e-15	6.363431545427288e-15	3828	tags=71%, list=24%, signal=54%	11222/64928/57129/29088/6182/55168/9801/28998/64981/51021/6183/51253/51373/64963/64960/65993/65005/65080/10102/65003/54998/118487/7818/51069/51258/28957/3396/90480/55173/10884/51642/29093/60488/51263/79590/63875/64979/51318/51073/122704/51649/7284/116540/9553/56945/51650/64949/219927/51081/4528/64976/29074/54460/28973/64978/51116/64951/54148/55052/92259/10573/64968/128308/28977/54948/740	Up	REACTOME_MITOCHONDRIAL_TRANSLATION	93	0.5333826256660514	2.363814142525303	5.949368397203193e-9	8.484316670794118e-8	5.1121003046906166e-8	5320	tags=68%, list=34%, signal=45%	11222/65005/51253/65003/64928/51073/57129/7818/79590/64960/51373/29088/6182/6183/56945/51263/28998/29093/55168/51069/90480/51021/64978/51258/219927/51116/65993/10884/116540/64979/51642/54460/64949/5018/122704/128308/55173/10102/51023/3396/29074/65080/54998/118487/64963/60488/64981/54148/28977/26284/64983/51081/4528/7284/51649/123263/124995/55052/9553/6150/64951/28973/51650
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	212	0.5224216702163285	2.382645793339373	8.214811276920186e-17	2.6944580988298216e-14	1.9067009332220017e-14	3743	tags=46%, list=24%, signal=35%	991/11065/9232/151648/332/9133/113130/1058/983/701/147841/81930/55143/11004/9212/220134/891/699/83540/11130/79019/1063/84790/57405/5347/9700/4085/10403/4001/55839/57082/64105/92421/5690/8815/91687/10376/5691/27338/1062/10213/55920/7341/5686/54821/8655/10383/11047/5714/5683/151246/64946/5901/7443/5693/25906/7324/11243/80776/51529/79023/25936/348235/79980/10381/5692/3619/1104/5708/7321/5704/23636/5694/378708/5687/5701/5685/51652/10382/5688/5525/128866/22919/6396/5515/5707/7311/5702/26271/5682/54908/5695/5718/2491/55055/5700/9631	Up	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	212	0.5797245558845336	2.925342186813925	2.801078312170666e-26	3.6750147455679126e-24	2.2143261183580742e-24	2651	tags=45%, list=17%, signal=38%	113130/11004/83540/1058/991/11065/151648/699/9133/147841/5347/55143/891/332/9700/81930/57405/701/91687/9212/1063/54821/983/220134/4001/2491/10403/10376/55920/9232/151246/4085/27338/84790/64946/5690/64105/8815/1104/11130/1062/55839/79019/7311/23636/5501/26271/54908/7443/79980/5901/7324/11047/55055/5692/129401/5708/9631/3619/5714/6232/57082/7329/5683/9735/5704/7321/23165/79023/7979/25936/5688/5686/5691/8655/7112/128866/57122/79172/5687/5885/55166/11243/3837/9184/10213/5682/7514/5693/5685/10383/6233/7341/81929/54820/51529
REACTOME_M_PHASE	REACTOME_M_PHASE	365	0.4445063174935188	2.131871844860987	1.0648077184099397e-15	2.7940554531076816e-13	1.9771798055527722e-13	3352	tags=38%, list=21%, signal=30%	991/11065/4751/10112/9232/151648/332/9133/113130/1058/983/701/147841/81930/55143/23397/11004/9212/220134/891/699/83540/11130/64151/79019/1063/84790/57405/5347/9700/4085/10403/8364/9493/23225/4001/55839/57082/64105/92421/5690/8815/91687/10376/8355/5691/3020/27338/1062/10213/55920/3014/7341/10733/9918/10051/440145/8345/85236/5686/54821/8655/10383/126961/333932/8363/26003/11047/5714/5683/151246/64946/8970/5901/7443/7283/5693/25906/7324/11243/80776/51529/79023/10783/25936/8365/93323/348235/79980/10381/5692/95681/54892/723790/8347/7531/1460/3619/1104/8636/5862/5708/8370/81876/7321/5704/54145/1457/23636/5694/23310/378708/10592/5687/8480/3013/554313/8357/5701/5685/51652/10382/5688/203068/5525/128866/22919/1069/6418/6396/8334/5515/5707/7311/5702/84930/26271	Up	REACTOME_M_PHASE	364	0.5224539969287165	2.8114024810458926	4.447297108065651e-32	1.458713451445533e-29	8.7892634951508e-30	3109	tags=43%, list=20%, signal=35%	113130/11004/83540/1058/991/11065/151648/699/9133/23397/147841/5347/55143/891/10112/332/9700/81930/57405/701/91687/8364/4751/64151/9212/1063/54821/203068/983/220134/10051/4001/2491/10403/10376/55920/10733/9232/151246/3014/4085/27338/9918/84790/64946/9493/5690/64105/8815/1104/11130/1062/8480/8355/55839/79019/93323/7311/54892/23636/26003/55732/5501/85236/26271/54908/8970/8363/1460/7443/79980/1457/5901/8357/7324/11047/55055/5692/129401/8345/5708/9631/84930/3619/5714/6232/723790/3020/57082/7329/5683/9735/126961/333932/5704/8365/7321/3012/23165/79023/3013/7979/25936/8338/5688/5686/5691/10783/8655/23310/7112/128866/57122/79172/5687/6418/55722/5885/55166/54145/11243/7283/3837/9184/10213/5682/8341/7514/8347/5693/9972/95681/5685/10383/6233/7341/23225/23399/81929/54820/51529/54801/128312/8351/7444/440145/348235/10381/5700/5701/653784/9183/22919/6396/8370
REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS	282	0.47034172626291015	2.2106038515457604	3.797270529036627e-15	8.30336489016009e-13	5.875776502825096e-13	3324	tags=41%, list=21%, signal=33%	991/151648/332/995/1058/701/147841/81930/55143/11004/9212/220134/699/83540/11130/79019/1063/84790/57405/9928/5347/85415/128239/4085/1535/10403/79784/1072/8364/81624/55839/57082/999/64105/5216/6242/114822/91687/10376/10092/8355/3020/10094/1062/55920/3014/5590/10095/11113/8345/85236/10096/54821/5580/8655/10097/10383/126961/333932/8363/7529/151246/9055/64946/8970/103910/7534/10458/5879/11243/80776/10109/79023/25936/8365/391/348235/79980/10093/10381/998/1729/26999/723790/8347/7531/3619/29984/8370/752/54145/1080/378708/5880/10552/4637/3013/653361/554313/8357/147700/60/10382/5585/5525/22919/3984/5062/147179/4690/6396/4221/8334/5515/5217/7454/1536	Up	REACTOME_RHO_GTPASE_EFFECTORS	281	0.5014200722803435	2.638414563281602	5.470990995158818e-22	3.7778632556044045e-20	2.276295976379098e-20	3109	tags=43%, list=20%, signal=36%	11004/83540/1058/991/151648/699/995/147841/5347/55143/332/81930/57405/701/91687/8364/9928/9212/1063/54821/220134/2491/10403/10376/55920/128239/151246/3014/4085/84790/64946/9055/64105/11130/1062/10092/1072/8355/55839/79019/1535/5501/5216/85236/4690/54908/8970/8363/79980/391/8357/4221/10096/10109/55055/7534/3984/8345/3619/6232/723790/3020/57082/81624/1536/10095/9735/126961/333932/8365/1857/3012/79023/3013/25936/10552/6280/10094/8338/653361/8655/57122/79172/10971/55166/85415/54145/6242/5585/5580/11243/9184/60/7454/8341/7514/4688/8347/10383/387/55845/81929/54820/5880/71/128312/8351/5879/2810/348235/5500/6279/4637/10381/998/23028/9183/5062/10163/22919/6396/8370
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	142	0.5620860058486972	2.463639498444418	6.055527106149072e-15	1.1349787947525116e-12	8.031541214471399e-13	4417	tags=58%, list=28%, signal=42%	25953/1329/4728/55969/1340/51300/9377/4715/1349/4709/1337/79064/4701/4191/1351/7384/4711/55967/4726/192286/4696/4722/1347/1537/54539/4710/4729/4713/6390/27089/4706/4694/4718/51079/29796/100131801/25994/10975/7386/4702/10063/4704/4695/4708/29078/51241/80775/54205/9997/4716/3052/4712/28958/4697/6392/25915/4700/4190/4717/284184/4698/6391/4725/2806/8402/51204/137682/4731/84233/7388/126328/4707/1345/10165/1327/57128/440567/25880/152100/55101/84987/9167	Up	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	142	0.295079607020751	1.4018985109038893	0.01704983664844039	0.04602754255710659	0.02773321923972003	5249	tags=48%, list=33%, signal=32%	55969/51300/4728/4191/192286/4715/79064/137682/4718/1340/1537/4710/4701/54539/57128/1329/440567/10131/4713/4711/4696/4726/25953/728568/4725/5018/10165/100131801/2395/9167/29078/4731/55967/84233/51079/1347/1337/4706/126328/27089/284184/1345/1351/9377/28976/152100/1349/7386/29796/7388/25915/4709/4694/4695/80775/4729/4722/6390/51295/55101/7384/100996939/55744/51241/4704/55471/25880/440957
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	168	0.5364434835989009	2.3931860807670646	1.5293772430176712e-14	2.229492158710205e-12	1.577673366481387e-12	3741	tags=49%, list=24%, signal=38%	991/11065/9232/151648/332/113130/1058/701/147841/81930/55143/11004/9212/220134/699/83540/11130/79019/1063/84790/57405/5347/9700/4085/10403/55839/57082/64105/5690/91687/10376/5691/27338/1062/10213/55920/5686/54821/8655/10383/11047/5714/5683/151246/64946/5693/25906/7324/11243/80776/51529/79023/25936/348235/79980/10381/5692/3619/5708/7321/5704/5694/378708/5687/5701/5685/10382/5688/5525/22919/6396/5515/5707/7311/5702/5682/54908/5695/5718/2491/55055/5700	Up	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	168	0.588566971484342	2.8520211490297456	2.873022326310028e-22	2.094114051177087e-20	1.261777641554872e-20	3097	tags=51%, list=20%, signal=41%	113130/11004/83540/1058/991/11065/151648/699/147841/5347/55143/332/9700/81930/57405/701/91687/9212/1063/54821/220134/2491/10403/10376/55920/9232/151246/4085/27338/84790/64946/5690/64105/11130/1062/55839/79019/7311/5501/54908/79980/7324/11047/55055/5692/5708/3619/5714/6232/57082/5683/9735/5704/7321/79023/7979/25936/5688/5686/5691/8655/57122/79172/5687/5885/55166/11243/9184/10213/5682/7514/5693/5685/10383/6233/81929/54820/51529/348235/10381/5700/5701/9183/22919/6396
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	117	0.5803008497649478	2.4775539900288504	6.511076998190098e-14	8.542533021625408e-12	6.045020960424912e-12	1829	tags=38%, list=12%, signal=34%	991/151648/332/9133/113130/1058/983/701/147841/81930/55143/11004/9212/220134/891/699/83540/11130/79019/1063/84790/57405/5347/4085/10403/55839/57082/64105/91687/10376/1062/55920/54821/8655/10383/151246/64946/11243/80776/79023/25936/348235/79980/10381	Up	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	117	0.6158405056230718	2.84653566311262	2.4019303835326107e-18	1.260533065277914e-16	7.595156707507329e-17	1981	tags=44%, list=12%, signal=38%	113130/11004/83540/1058/991/151648/699/9133/147841/5347/55143/891/332/81930/57405/701/91687/9212/1063/54821/983/220134/2491/10403/10376/55920/151246/4085/84790/64946/64105/11130/1062/55839/79019/55732/5501/54908/79980/55055/3619/6232/57082/9735/79023/25936/8655/57122/79172/5885/55166
REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION	157	0.531885044522898	2.3579781316137263	1.4377672601993868e-13	1.7148642230741775e-11	1.2135030846850326e-11	4409	tags=56%, list=28%, signal=41%	11065/81620/9837/8318/4171/8364/898/55388/8900/4173/990/5690/23594/8355/5691/3020/27338/10213/3014/51659/2237/4998/92667/5111/8345/85236/5686/64785/84296/126961/333932/8363/11047/5714/5683/5982/8970/6119/5693/25906/6742/7324/890/51529/5558/8365/54107/5692/5427/5983/723790/8347/5984/9978/5708/8370/7321/5704/54145/5694/6502/5687/3013/554313/8357/5701/5685/5688/1763/8334/5707/7311/5702/5682/5695/84515/5425/5718/5700/3012/5424/4175/23649/8351/7979/5001/51053/10926	Up	REACTOME_DNA_REPLICATION	156	0.6532003253611631	3.136992295963044	1.6877359129995203e-29	4.4286190357107406e-27	2.6683993066581888e-27	2799	tags=57%, list=18%, signal=47%	11065/4171/898/8364/55388/81620/23594/5984/4998/10926/3014/8318/27338/890/9837/990/5690/84296/5982/6502/5558/5427/8355/5983/4173/51659/23649/7311/1017/4174/85236/4175/5111/8970/8363/2237/4176/6742/8357/8900/7324/1763/11047/5692/54107/5424/8345/5708/5714/5985/723790/3020/5001/5683/92667/9134/246243/126961/333932/5704/8365/7321/3012/5425/3013/7979/8338/5688/5686/64785/5691/5687/56652/84515/54145/5557/3837/10213/5682/8341/8347/5693/5685/6233/51529/128312/4172/8317/8351
