Description	Direction
REACTOME_CELL_CYCLE_CHECKPOINTS	Up
REACTOME_TRANSLATION	Up
REACTOME_MITOCHONDRIAL_TRANSLATION	Up
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Up
REACTOME_M_PHASE	Up
REACTOME_RHO_GTPASE_EFFECTORS	Up
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Up
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Up
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Up
REACTOME_DNA_REPLICATION	Up
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Up
REACTOME_G2_M_CHECKPOINTS	Up
REACTOME_FCGR_ACTIVATION	Up
REACTOME_SYNTHESIS_OF_DNA	Up
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Up
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Up
REACTOME_DNA_REPLICATION_PRE_INITIATION	Up
REACTOME_S_PHASE	Up
REACTOME_NEUTROPHIL_DEGRANULATION	Up
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	Up
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Up
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	Up
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	Up
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	Up
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Up
REACTOME_PARASITE_INFECTION	Up
REACTOME_CD22_MEDIATED_BCR_REGULATION	Up
REACTOME_CHROMOSOME_MAINTENANCE	Up
REACTOME_MITOTIC_PROMETAPHASE	Up
REACTOME_PROTEASOME_ASSEMBLY	Up
REACTOME_COMPLEX_I_BIOGENESIS	Up
REACTOME_DOWNSTREAM_TCR_SIGNALING	Up
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Up
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Up
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	Up
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	Up
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	Up
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	Up
REACTOME_TCR_SIGNALING	Up
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	Up
REACTOME_METABOLISM_OF_POLYAMINES	Up
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Up
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	Up
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Up
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	Up
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	Up
