ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	90	0.6564540381137784	2.690903582105532	2.860429424649203e-16	2.0366257503502326e-13	1.7493784165486182e-13	3867	tags=73%, list=24%, signal=56%	7351/9551/1329/4728/509/1340/9377/4715/1349/4709/1337/4701/1351/522/506/7384/4711/55967/4726/4696/4722/1347/518/4710/4729/4713/6390/27089/4706/4694/4718/51079/29796/515/514/292/10975/7386/4702/10632/10063/516/4704/4695/4708/4716/517/4712/4697/93974/6392/513/521/4700/4717/4698/6391/4725/10476/4731/7388/126328/4707/1345/1327/539
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	52	0.6664221188382855	2.4811311871092894	2.333629895384819e-10	8.307722427569956e-8	7.135994574834633e-8	3978	tags=79%, list=25%, signal=59%	9551/4728/4715/4701/522/506/4711/4726/4696/4722/518/4710/4729/4713/4706/4718/515/514/4702/10632/516/4704/4695/3002/4708/4716/517/4712/4697/513/521/4700/4717/4698/4725/10476/4731/126328/4707/539/537
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	49	0.6400242205952542	2.355135240268922	6.450563335847336e-9	1.5309336983744344e-6	1.3150095782902817e-6	3424	tags=61%, list=22%, signal=48%	51300/4715/4709/4701/4711/55967/4726/4696/4722/54539/4710/4729/4713/4706/4694/4718/51079/4702/4695/4708/29078/4716/4712/25915/4700/4717/4698/4725/137682/4731
WP_PROTEASOME_DEGRADATION	WP_PROTEASOME_DEGRADATION	60	0.6044598360299187	2.3080926545203253	1.888928121661555e-8	3.362292056557568e-6	2.8880716807509567e-6	3991	tags=65%, list=25%, signal=49%	6184/5690/7347/5691/3014/5686/5714/5683/10197/7322/5693/5698/5692/5696/5720/5708/7321/5704/5694/6185/5687/5716/5701/5685/5688/3106/5721/5707/3135/5702/5699/5682/7317/5695/3107/5718/5700/3105/5710
WP_RETINOBLASTOMA_GENE_IN_CANCER	WP_RETINOBLASTOMA_GENE_IN_CANCER	87	0.5367056400054222	2.191494611882702	5.969885484857609e-8	7.084264108697697e-6	6.085093801232055e-6	2081	tags=36%, list=13%, signal=31%	7272/9133/983/81620/24137/891/7153/5877/6241/8318/1870/898/54443/4173/1871/7298/10733/1869/4998/5111/8030/6119/1719/1633/1111/595/890/7027/5427/5983/5984
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	140	0.47378843256113645	2.0670693055019753	4.9905583027942485e-8	7.084264108697697e-6	6.085093801232055e-6	3977	tags=51%, list=25%, signal=38%	1329/4728/1340/9377/841/4715/1349/4709/1337/578/4701/1351/7384/4711/7124/55967/4726/637/4696/4722/1347/1537/54539/4710/51094/4729/4713/6390/27089/4706/4694/4718/51079/29796/10975/7386/1050/4702/4704/4695/4296/4708/5879/54205/4716/998/4712/6347/4697/6392/5571/7494/5296/4700/4717/4698/3553/2931/6391/4725/836/4731/7388/8503/126328/4707/1345/1327/2932/5291/581
WP_CELL_CYCLE	WP_CELL_CYCLE	118	0.4689237012940391	1.986281363627615	8.880106186043178e-7	9.032336577803917e-5	7.758408562542988e-5	1722	tags=27%, list=11%, signal=24%	991/9232/7272/9133/1029/995/983/9088/891/699/8318/5347/9700/4171/1870/898/8900/4173/990/23594/1871/1869/4998/5111/7529/27127/7534/1111/595/890/51529/7027
WP_GASTRIC_CANCER_NETWORK_1	WP_GASTRIC_CANCER_NETWORK_1	28	0.6688089465336148	2.209437381002997	3.7825353176426552e-6	3.3664564327019633e-4	2.891648709934715e-4	644	tags=43%, list=4%, signal=41%	11065/22974/1894/4605/7153/1063/56992/8900/4173/3020/144455/8607
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	60	0.5462471806959466	2.085811215510349	4.841991060738443e-6	3.830552928050857e-4	3.290288662326358e-4	5273	tags=65%, list=33%, signal=44%	58191/6696/6373/3627/7124/284340/56477/6364/6355/4312/4283/4318/6375/6374/6348/6352/6370/6351/6347/6354/6846/10673/51561/6372/3553/2919/3606/6356/3592/6367/10563/6362/3600/5008/3976/3589/4049/10148/9547
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	31	0.6428292305142921	2.1437144181391763	1.1122209154799453e-5	7.919012918217211e-4	6.802108967303666e-4	2169	tags=52%, list=14%, signal=45%	25953/1329/1340/9377/1349/388753/1337/1351/1347/100131801/25994/10063/51241/80775/28958/4697
