ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	86	0.7037717313532791	3.081447666226285	9.069205483373462e-21	6.457274304161905e-18	4.992836281899285e-18	2733	tags=77%, list=17%, signal=64%	6142/6158/6156/6187/6171/6169/7311/6218/6167/6168/6204/6165/6217/6155/6188/6132/11224/6138/6161/6201/6193/6136/6209/6224/6159/6202/6175/6157/6227/6173/4736/6232/6134/6191/6222/6176/6181/6125/6199/6234/6141/6235/6170/6208/3921/25873/6205/6231/6223/6128/6152/6230/6194/6203/6229/9045/2197/6137/23521/6144/6124/6210/6207/6233/6135/6139
WP_RETINOBLASTOMA_GENE_IN_CANCER	WP_RETINOBLASTOMA_GENE_IN_CANCER	87	0.6695352133228989	2.92837035682742	2.0581847191831796e-17	4.8847584001947465e-15	3.776949502220362e-15	3218	tags=63%, list=20%, signal=51%	7272/1869/9133/891/898/81620/983/5984/4998/10733/24137/8318/1870/890/7153/993/6502/6241/5427/7298/1019/5983/4173/1111/8030/5877/1871/1017/4175/5111/580/6839/4176/5985/9134/7157/4609/3925/54443/7027/2189/5928/5557/2956/3015/1719/5947/25942/4172/8317/5591/1786/10592/1633/3148
WP_CELL_CYCLE	WP_CELL_CYCLE	118	0.6019356661403874	2.7703871240931908	1.4914040555335735e-17	4.8847584001947465e-15	3.776949502220362e-15	1965	tags=41%, list=12%, signal=36%	7272/991/1869/699/995/1029/9133/5347/4171/891/9700/898/9088/983/23594/4998/10926/9232/8318/1870/890/990/993/6502/27127/1019/4173/1111/11200/1871/1017/4174/4175/5111/4176/1875/8900/7534/5001/9134/10459/1030/7157/4609/7027/1031/10971/5885
WP_G1_TO_S_CELL_CYCLE_CONTROL	WP_G1_TO_S_CELL_CYCLE_CONTROL	63	0.6735659239657256	2.760471577059438	2.4522862711499795e-13	4.365069562646964e-11	3.375120315293262e-11	2053	tags=51%, list=13%, signal=44%	1869/1029/4171/891/898/983/23594/4998/8318/1870/993/5558/5427/1019/4173/23649/1871/1017/4174/4175/5111/4176/8900/5001/9134/1030/7157/4609/1388/7027/1031/5557
WP_DNA_REPLICATION	WP_DNA_REPLICATION	41	0.7550196904804476	2.838032716325268	4.296200522655204e-13	6.117789544261011e-11	4.7303428912603615e-11	1510	tags=61%, list=10%, signal=55%	4171/55388/81620/23594/5984/4998/10926/8318/990/5982/5558/5427/5983/4173/23649/7311/1017/4174/4175/5111/4176/5424/5985/5001/5425
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	81	0.5976772792006967	2.571350781275341	1.2069220639337034e-11	1.4322141825346615e-9	1.1074039288374157e-9	1813	tags=41%, list=11%, signal=36%	2305/1869/995/5347/4171/9156/5888/983/3014/8318/63967/55215/2177/1111/11200/83990/9401/1017/675/11073/2175/5111/580/2237/5371/55775/10155/4436/7398/7979/7157/142/7520
WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP	WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP	83	0.5765017411453037	2.5040044094950384	9.462774469647156e-11	9.624993460555393e-9	7.442151951316487e-9	2799	tags=47%, list=18%, signal=39%	11065/1029/8364/3014/27338/890/1051/1019/8355/7311/1017/10919/85236/8970/8363/8357/8900/7324/5970/8345/723790/3020/126961/333932/8365/7321/1030/3012/3013/8338/1031/54145/3015/8341/8347/6233/51529/128312/8351
WP_PROXIMAL_TUBULE_TRANSPORT	WP_PROXIMAL_TUBULE_TRANSPORT	43	-0.6728919671926747	-2.5467750281152157	6.439948868851545e-10	5.731554493277874e-8	4.4317016558017865e-8	1491	tags=47%, list=9%, signal=42%	762/64849/146802/6560/55244/51382/6519/9429/6505/476/523/6550/57393/760/8671/50617/358/481/5243/486
WP_GASTRIC_CANCER_NETWORK_1	WP_GASTRIC_CANCER_NETWORK_1	28	0.7565029963785361	2.558098460060453	1.1511380757090787e-9	9.106781221165156e-8	7.041464486501148e-8	1168	tags=57%, list=7%, signal=53%	22974/6790/11065/1063/4605/1894/56992/286826/7153/4173/144455/86/9585/8607/8900/3020
WP_PROTEASOME_DEGRADATION	WP_PROTEASOME_DEGRADATION	60	0.5929154938798487	2.4110518353826444	6.6162433891741e-9	4.7107652930919595e-7	3.6424160974084784e-7	4469	tags=63%, list=28%, signal=46%	3014/5690/6184/7322/5692/5708/5714/5698/5683/5704/7321/5688/5686/5691/5687/6185/7317/3015/5682/5693/5721/5696/5685/5711/5720/5700/5701/3106/5695/7347/5716/5710/3107/10197/5718/5699/5684/5702
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION	WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION	92	-0.5093421385805581	-2.236346383895955	2.0540300136171935e-8	1.3295176088140381e-6	1.0279977962887965e-6	3394	tags=45%, list=21%, signal=35%	3655/201456/3371/8927/4929/1741/10763/9314/7168/23504/4133/9456/43/28514/2550/1742/2571/23025/3866/57030/6616/6285/161/947/10243/2670/6855/27445/1267/5175/10840/2103/85358/2902/361/6529/4155/6506/2744/1740/8825
WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	34	0.699721732579724	2.522896438028319	6.515524647226016e-8	3.865877957354103e-6	2.989139816227374e-6	391	tags=29%, list=2%, signal=29%	113130/151648/5347/9700/9212/983/9232/151246/27127/157570
