ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04110	Cell cycle - Homo sapiens (human)	155	0.6744445153835035	2.90710279610786	1e-10	8.450278596090786e-9	5.003454431895862e-9	1427	tags=35%, list=9%, signal=32%	1029/991/898/7272/27127/699/995/9212/9133/151648/9319/113130/9700/5347/1869/1870/9088/8900/9232/10403/8318/81620/701/983/891/157570/890/90381/4998/4085/23594/4171/990/993/10926/6502/1031/9134/1030/4609/7157/11200/1111/27085/57082/2810/4173/26271/1871/5111/1019/4175/4174/1017
hsa03010	Ribosome - Homo sapiens (human)	166	0.6465191461908149	2.8063738153433597	1e-10	8.450278596090786e-9	5.003454431895862e-9	4235	tags=72%, list=27%, signal=54%	6142/100008587/6158/6218/6156/6187/6169/6217/6168/200916/6188/6167/6155/6224/6204/6171/11222/6165/6193/11224/6161/6132/7311/6227/6201/6159/6157/51073/65003/6136/6222/64928/6234/6232/6209/6202/6176/6175/6170/51253/6181/6173/6183/6231/10399/6134/6235/6208/6138/25873/4736/6191/64960/388524/6141/6182/65005/6223/3921/28998/6125/29088/6230/79590/57129/6205/6137/6194/6152/6229/51258/64979/6210/6128/29093/6203/6144/51069/219927/2197/23521/55168/6207/6139/116540/9045/6133/54460/51116/6135/51373/122704/6233/64978/65993/6124/51642/6189/51021/51263/56945/6143/7818/6129/9349/64949/100529239/6147/6160/51121/128308/60488/10884/55173/64981/6154/51023/6130/29074/6206
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	84	0.7021228162566111	2.7513327211049656	1e-10	8.450278596090786e-9	5.003454431895862e-9	2606	tags=69%, list=16%, signal=58%	8364/8355/8329/717/8336/7124/8357/92815/8970/718/8345/714/85236/713/3120/8363/8969/723790/3014/3586/8365/3012/3117/712/942/3013/6628/126961/333932/2209/941/3119/2214/8338/3118/2212/54145/3122/3115/3113/3123/128312/8347/8351/3127/3108/8341/3111/8370/6632/2903/3112/3020/81/55506/3109/721/8339
hsa04020	Calcium signaling pathway - Homo sapiens (human)	199	-0.54083745472593725	-2.2294385383667876	1e-10	8.450278596090786e-9	5.003454431895862e-9	2991	tags=44%, list=19%, signal=36%	3358/5257/23236/55283/56413/53373/2767/4638/2264/5159/5332/4233/91807/5533/1956/10345/5579/8913/5578/7039/3357/817/89832/340156/552/291/115/4485/5582/57172/1139/2252/4842/2185/3706/5156/5731/5153/623/5350/116444/2324/2254/3791/775/154/845/5336/489/5567/196883/2321/3082/2261/492/6262/153/84812/4916/135/107/3270/100130933/2774/6263/776/1910/57105/624/5737/3708/108/5136/8912/9630/2246/185/5137/814/2247/6543/8911/2905/5733/816/4915/2902/1950
hsa04024	cAMP signaling pathway - Homo sapiens (human)	172	-0.5360908534608154	-2.1831693493209756	1.4403883970609296e-10	8.450278596090786e-9	5.003454431895862e-9	1374	tags=28%, list=9%, signal=26%	10846/2735/5144/476/5350/116444/5140/111/112/2770/775/154/56670/489/64399/5567/196883/482/2550/10000/492/6262/153/1259/1813/135/2891/107/1394/776/2696/5602/6752/108/11069/4886/610/814/6751/481/2905/5733/816/477/7253/2902/486/5443
hsa04724	Glutamatergic synapse - Homo sapiens (human)	93	-0.6101394819793104	-2.261987866369607	1.2928970056056107e-9	6.501424942473928e-8	3.849527926464826e-8	2436	tags=46%, list=15%, signal=39%	5533/5579/5578/9456/23154/27165/115/5582/22941/54331/2786/2775/7220/10681/1742/2791/116444/8605/2914/111/112/2770/775/100137049/85358/5567/196883/2744/8681/6505/2891/107/776/3708/2788/108/2898/2784/57030/2905/255189/2902/6506
hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	132	-0.5444824278441999	-2.1332417228455167	3.819721191492246e-9	1.680677324256588e-7	9.951378893624535e-8	3194	tags=43%, list=20%, signal=35%	487/478/5523/10411/9252/23236/7168/5332/64091/5521/70/5578/11149/817/6332/115/3753/5526/781/476/6324/5350/111/6300/112/2770/775/154/489/596/5567/196883/482/10000/492/6262/153/3784/59283/107/5600/183/776/5522/6330/108/11069/4634/783/185/785/6543/481/816/477/5502/486
hsa04911	Insulin secretion - Homo sapiens (human)	67	-0.6484406922888799	-2.304368810485986	1.2867341379489393e-8	5.032560183978075e-7	2.9798053720922806e-7	3286	tags=57%, list=21%, signal=45%	3767/478/27345/2645/6804/3782/23236/2767/5332/5864/5579/5578/817/115/5582/6844/117/3779/9699/476/111/112/775/5567/196883/482/6262/3781/107/27445/776/108/11069/6616/481/816/477/486
hsa04976	Bile secretion - Homo sapiens (human)	46	-0.6993867947975145	-2.3138289522476647	1.6188128058852035e-8	5.698221076715916e-7	3.37394669016074e-7	1264	tags=46%, list=8%, signal=42%	476/57835/111/112/9429/6579/5567/196883/482/3781/107/108/358/481/760/477/8671/5243/361/6550/486
hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	85	-0.6015759360525378	-2.1984095226758424	2.1200249255371796e-8	6.784079761718975e-7	4.0168893325967615e-7	2361	tags=40%, list=15%, signal=34%	5579/8913/5578/817/115/5582/57172/4929/476/5587/3762/111/112/3777/775/5567/196883/482/492/3164/107/183/776/3708/108/8912/185/814/5138/8911/481/816/477/5443
hsa04727	GABAergic synapse - Homo sapiens (human)	71	-0.6160787653611652	-2.2127199591760003	3.2073667329028264e-8	9.40827574984829e-7	5.570689588725962e-7	2361	tags=51%, list=15%, signal=43%	5579/5578/27165/115/2561/5582/54331/2786/10243/2775/10681/2791/2568/111/112/2770/775/6540/5567/196883/2550/18/2744/107/6539/776/23710/2571/2788/108/2784/2562/2563/9001/5334/6529
hsa04713	Circadian entrainment - Homo sapiens (human)	79	-0.6091323249450674	-2.1979488688944127	4.0930685010618464e-8	1.1082770095182846e-6	6.562166503726686e-7	2361	tags=54%, list=15%, signal=47%	8863/9252/23236/5332/2353/5579/8913/5578/817/115/5582/4842/54331/2786/117/5592/2775/2982/10681/2791/3762/111/112/2770/775/5567/196883/6262/5187/2891/107/6263/776/3708/2788/108/2784/8912/8911/2905/816/51655/2902
hsa04964	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	21	-0.8212762626650333	-2.2826403663549164	8.854507933883668e-8	2.0825597297266e-6	1.2330945768118029e-6	1264	tags=57%, list=8%, signal=53%	476/5105/482/2744/762/358/481/760/477/8671/6550/486
hsa04918	Thyroid hormone synthesis - Homo sapiens (human)	59	-0.6477167540159376	-2.2129549749618653	8.874544302812215e-8	2.0825597297266e-6	1.2330945768118029e-6	1264	tags=46%, list=8%, signal=42%	6528/23236/2878/5332/432/5579/5578/115/5582/476/4036/111/112/5567/196883/482/107/53905/3708/108/481/477/7253/50506/7173/486/7038
hsa05032	Morphine addiction - Homo sapiens (human)	71	-0.6016192296657342	-2.160786821673782	1.295648722686718e-7	2.6827550022689694e-6	1.5884733566066268e-6	2361	tags=51%, list=15%, signal=43%	5579/5578/5142/115/2561/5582/408/54331/2786/2775/10681/5153/10846/5144/2791/5140/2568/3762/111/112/2869/2770/5567/196883/2550/27115/107/2788/108/2784/2562/2563/5136/5137/5138/8622
hsa03040	Spliceosome - Homo sapiens (human)	149	0.4806165300794404	2.045983666864078	2.3633255825092789e-7	4.62161447246259e-6	2.7364822534317965e-6	4620	tags=45%, list=29%, signal=32%	26864/26870/6060/26863/26869/26871/26835/26834/6628/10465/22827/84321/57819/25804/6635/10262/6636/6631/10189/6633/55110/4116/6637/6632/27258/6629/10523/6626/51691/8896/10713/51690/494115/79228/11157/51634/10084/51729/80145/23658/9410/8175/6100/26855/55696/9775/51645/6627/10946/84844/9128/27316/3312/6427/9939/10907/6434/55660/11017/9343/8683/22916/57461/10285/5093/6634/23450
hsa05330	Allograft rejection - Homo sapiens (human)	29	0.7508706331621098	2.2976601732749864	3.9258591316923945e-7	6.909512071778615e-6	4.0911584635531274e-6	2620	tags=72%, list=17%, signal=61%	7124/3120/3586/3117/942/3002/941/3119/3118/3122/3115/3113/3123/3592/3127/3108/3111/3112/3106/3109/3107
hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	46	-0.6643508211119776	-2.1979170550159575	4.887442749408075e-7	8.192284989484012e-6	4.8506950595629025e-6	3331	tags=57%, list=21%, signal=45%	6546/163/478/161/23236/5332/5579/5578/115/1759/5582/476/112/26052/8218/5567/482/492/624/6543/481/793/477/5745/9365/486
hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	55	-0.6401551294546277	-2.1767031062971447	5.14519224511799e-7	8.232307592188784e-6	4.874392653269675e-6	1105	tags=31%, list=7%, signal=29%	111/112/3777/775/5567/196883/3164/107/183/776/3708/108/8912/185/8911/8622/5443
hsa04971	Gastric acid secretion - Homo sapiens (human)	64	-0.611085102659977	-2.14015218346083	1.1025531986616334e-6	1.5523949037155798e-5	9.191811929894881e-6	2759	tags=50%, list=17%, signal=41%	23236/4638/5332/91807/3759/5579/5578/817/340156/115/5582/476/111/112/2770/5567/196883/482/3784/389015/107/3708/6752/108/481/760/816/477/115111/3773/3766/3772
hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	136	0.4715494963627166	1.9838631784549345	1.0744785725707226e-6	1.5523949037155798e-5	9.191811929894881e-6	2257	tags=35%, list=14%, signal=30%	8364/8355/8329/8336/8357/92815/8970/366/718/8345/2359/85236/8363/8969/723790/3014/1535/8365/3012/3013/1536/126961/333932/2209/3689/2214/653361/8338/2212/27180/54145/51311/51284/128312/8347/8351/5296/4688/5880/8341/8370/2357/7417/6404/9734/64581/3020
hsa05332	Graft-versus-host disease - Homo sapiens (human)	29	0.7353354254389273	2.250122519659754	1.1543640100675786e-6	1.5628312751684143e-5	9.253606234549822e-6	2620	tags=69%, list=17%, signal=58%	7124/3120/3117/942/3002/941/3119/3118/3122/3115/3113/3123/3127/3108/3111/3112/3106/3553/3109/3107
hsa04081	Hormone signaling - Homo sapiens (human)	133	-0.5025964075363238	-1.967948845699668	1.653825039486551e-6	2.088932321168502e-5	1.2368678217445078e-5	3084	tags=45%, list=19%, signal=37%	10411/10266/10267/23236/2767/2057/3717/5332/6567/5295/7433/4883/552/115/4842/5744/54331/2100/2786/3690/9843/5592/2775/2796/4157/3953/10681/7067/6777/2791/2690/111/112/2770/154/5567/196883/554/5618/153/1813/107/4093/1394/183/2696/2788/6752/108/2784/11069/10268/9630/185/6751/1733/1734/7253/5745/5443
hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	129	-0.49958103443209495	-1.9471657402397795	1.6616507100203991e-6	2.088932321168502e-5	1.2368678217445078e-5	2406	tags=33%, list=15%, signal=29%	1956/5295/5578/1902/22808/7248/8527/552/115/1759/2549/2185/5156/56895/160851/8613/8611/8605/2914/111/112/26052/5336/100137049/196883/554/10000/139189/8681/8395/107/183/53358/4254/5737/25759/108/11069/185/255189/3815/9162/1950
hsa00071	Fatty acid degradation - Homo sapiens (human)	38	-0.678703941984388	-2.1511950135191236	2.5581573842272796e-6	3.105073790510353e-5	1.8385305338548148e-5	3374	tags=58%, list=21%, signal=46%	126129/34/10455/1374/224/3032/30/223/1962/217/35/1375/10449/37/36/38/23205/2180/125/23305/126/33
hsa04728	Dopaminergic synapse - Homo sapiens (human)	108	-0.5204366326118293	-1.9801602937908018	2.6714885997857522e-6	3.134546623748616e-5	1.8559815535353648e-5	2688	tags=35%, list=17%, signal=29%	5332/2353/5521/5533/5579/5578/817/5582/408/5526/54331/2786/2775/10681/2791/3762/111/6300/2770/775/4129/5567/3800/10000/1813/2891/5600/2774/776/1644/5522/3708/2788/5602/2784/4128/3798/816
