ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa00190	Oxidative phosphorylation - Homo sapiens (human)	113	0.6049186534037504	2.012341978569852	4.149081557981935e-9	1.460476708409641e-6	1.1268032020624622e-6	3648	tags=60%, list=23%, signal=47%	479/525/9551/100532726/4715/4701/9377/1340/1329/1349/4728/4718/4696/1337/155066/1537/4713/1347/1351/7386/54539/29796/4726/5464/4709/9296/516/27089/509/533/522/4694/4711/51079/518/56901/10975/527/55967/521/4710/10063/10632/4722/7388/4695/4706/514/6390/4729/7384/4708/54205/64077/506/4702/4697/4704/513/440567/515/4712/4725/4716/517/4700/6392/4717
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	85	0.6228730340165952	2.0210571318888673	1.4522451013850985e-7	2.172733895227795e-5	1.676331773231971e-5	2114	tags=53%, list=13%, signal=46%	8355/8364/8336/7124/8329/8345/3120/3118/3117/3122/3119/8969/8970/126961/333932/8365/3113/3123/2903/3115/85236/3127/717/723790/3109/8363/3108/941/3111/8347/3013/8357/942/2209/8370/54145/714/3014/2214/92815/3012/713/554313/6628/712
hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)	37	0.7349548376735296	2.1250847295561694	3.670146921411045e-7	3.0321884437919715e-5	2.3394276868969154e-5	1808	tags=62%, list=11%, signal=55%	5284/6370/3120/3118/3117/3122/3119/56477/3113/3123/3115/3127/7852/3695/3109/29851/3108/941/3111/23308/942/10673/115650
hsa05323	Rheumatoid arthritis - Homo sapiens (human)	78	0.6201740463150247	1.9917368232791666	4.30708585765905e-7	3.0321884437919715e-5	2.3394276868969154e-5	3007	tags=50%, list=19%, signal=41%	525/4312/6364/6374/7124/4050/3120/3118/3117/6372/3122/3119/3113/3123/6352/2919/3115/3127/6348/3109/3108/941/3111/6347/51561/3553/942/10673/155066/3606/9296/533/1493/3689/527/3600/3383/3589/3683
hsa05310	Asthma - Homo sapiens (human)	19	0.8285440626550686	2.081625817610034	9.243698826119597e-7	4.657365880961929e-5	3.5933026234694304e-5	1895	tags=84%, list=12%, signal=74%	7124/3120/3118/3117/3122/3119/6356/3113/3123/3115/3127/2207/3109/3108/3111/2205
hsa03010	Ribosome - Homo sapiens (human)	166	0.52516633607627194	1.7979051312815262	9.2618071496402e-7	4.657365880961929e-5	3.5933026234694304e-5	5623	tags=60%, list=35%, signal=39%	100008587/64928/6183/6182/29088/57129/28998/11222/64981/64960/55168/6158/51258/60488/6142/65993/64979/65003/64963/28957/122704/51073/51642/51069/51253/79590/51121/51373/51021/29093/9801/63875/9553/55173/116540/51649/6155/51650/100529239/65005/219927/54460/6218/65080/6234/51081/64976/7311/6227/64949/51263/6157/64968/6168/10884/200916/11224/6169/7818/92259/29074/51116/6167/6231/6204/55052/6235/64951/54148/64978/6209/6132/10573/128308/28973/56945/6224/6159/6171/51318/6156/6161/6187/6208/6176/6170/51264/116541/6217/6201/28977/6136/65008/54948/740/6181/6193/51023/6165/6222
hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	56	-0.5555315280373524	-2.235329130831458	1.3329435019096688e-6	5.864951408402543e-5	4.52499241437756e-5	1970	tags=41%, list=12%, signal=36%	5151/115/1589/1586/3949/8622/949/109/111/775/196883/190/113/112/185/1583/8913/108/2516/3708/3164/8912/6770
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	189	0.5020636962560322	1.7357997767649054	1.7548820888849713e-6	6.863538836527888e-5	5.2954336717230705e-5	3469	tags=45%, list=22%, signal=36%	284340/6373/6364/655/6374/3627/3604/7124/4283/6370/6354/4050/4982/6355/2833/1524/8784/9966/6372/6846/6375/10913/6356/56477/51330/6362/50615/9235/3561/6352/2919/8200/3560/10563/7852/58191/3568/6348/3559/3625/6347/6351/51561/3553/6367/3556/9466/388372/10673/115650/9518/3592/939/3606/9547/8743/1438/27242/1234/920/1230/8797/3595/3594/7293/943/2657/23529/5008/944/3600/132014/3976/8744/3589/643/8794/10148/4049/8808/1436/146433/3586/392255/55504
hsa04382	Cornified envelope formation - Homo sapiens (human)	119	0.5558968376563358	1.8566133920801742	2.0284596613671903e-6	7.14017800801251e-5	5.508869396134054e-5	2235	tags=36%, list=14%, signal=31%	9074/1365/10686/3855/6271/9080/3887/6276/3856/25984/5652/1364/1366/3892/9071/3875/53842/6768/51702/3872/3918/149461/11240/144501/3914/6282/6273/5521/3691/6275/3880/9076/57402/6278/1829/1832/2125/79852/3728/100506658/6277/59344/7051
hsa04940	Type I diabetes mellitus - Homo sapiens (human)	35	0.7031567137124183	2.016019642882914	5.036559542635971e-6	1.5002905033742044e-4	1.1575207831056959e-4	3268	tags=74%, list=21%, signal=59%	7124/3120/3002/3118/3117/3122/3119/3113/3123/3115/3127/3135/3109/3108/941/3111/3553/942/3382/3592/3106/5798/5551/3107/3112/4049
