ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	90	0.6564540381137784	2.6976298056374057	3.411043138925011e-16	2.428662714914608e-13	2.1040750309579542e-13	3867	tags=73%, list=24%, signal=56%	7351/9551/1329/4728/509/1340/9377/4715/1349/4709/1337/4701/1351/522/506/7384/4711/55967/4726/4696/4722/1347/518/4710/4729/4713/6390/27089/4706/4694/4718/51079/29796/515/514/292/10975/7386/4702/10632/10063/516/4704/4695/4708/4716/517/4712/4697/93974/6392/513/521/4700/4717/4698/6391/4725/10476/4731/7388/126328/4707/1345/1327/539
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	52	0.6664221188382855	2.4461597090005687	4.507577513997691e-10	1.604697594983178e-7	1.3902318016856036e-7	3978	tags=79%, list=25%, signal=59%	9551/4728/4715/4701/522/506/4711/4726/4696/4722/518/4710/4729/4713/4706/4718/515/514/4702/10632/516/4704/4695/3002/4708/4716/517/4712/4697/513/521/4700/4717/4698/4725/10476/4731/126328/4707/539/537
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	49	0.6400242205952542	2.33640576226592	2.7841937753064547e-8	4.955864920045489e-6	4.293519874551532e-6	3424	tags=61%, list=22%, signal=48%	51300/4715/4709/4701/4711/55967/4726/4696/4722/54539/4710/4729/4713/4706/4694/4718/51079/4702/4695/4708/29078/4716/4712/25915/4700/4717/4698/4725/137682/4731
WP_PROTEASOME_DEGRADATION	WP_PROTEASOME_DEGRADATION	60	0.6044598360299187	2.2882686956554488	2.132638342631543e-8	4.955864920045489e-6	4.293519874551532e-6	3991	tags=65%, list=25%, signal=49%	6184/5690/7347/5691/3014/5686/5714/5683/10197/7322/5693/5698/5692/5696/5720/5708/7321/5704/5694/6185/5687/5716/5701/5685/5688/3106/5721/5707/3135/5702/5699/5682/7317/5695/3107/5718/5700/3105/5710
WP_RETINOBLASTOMA_GENE_IN_CANCER	WP_RETINOBLASTOMA_GENE_IN_CANCER	87	0.5367056400054222	2.185456469123421	4.7633855182461893e-8	5.652550814985478e-6	4.8970945854250295e-6	2081	tags=36%, list=13%, signal=31%	7272/9133/983/81620/24137/891/7153/5877/6241/8318/1870/898/54443/4173/1871/7298/10733/1869/4998/5111/8030/6119/1719/1633/1111/595/890/7027/5427/5983/5984
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	140	0.47378843256113645	2.0767436677109914	3.9725619643056504e-8	5.652550814985478e-6	4.8970945854250295e-6	3977	tags=51%, list=25%, signal=38%	1329/4728/1340/9377/841/4715/1349/4709/1337/578/4701/1351/7384/4711/7124/55967/4726/637/4696/4722/1347/1537/54539/4710/51094/4729/4713/6390/27089/4706/4694/4718/51079/29796/10975/7386/1050/4702/4704/4695/4296/4708/5879/54205/4716/998/4712/6347/4697/6392/5571/7494/5296/4700/4717/4698/3553/2931/6391/4725/836/4731/7388/8503/126328/4707/1345/1327/2932/5291/581
WP_CELL_CYCLE	WP_CELL_CYCLE	118	0.4689237012940391	2.013193095236392	1.0360031913068277e-6	1.0537632460149446e-4	9.129291279786482e-5	1722	tags=27%, list=11%, signal=24%	991/9232/7272/9133/1029/995/983/9088/891/699/8318/5347/9700/4171/1870/898/8900/4173/990/23594/1871/1869/4998/5111/7529/27127/7534/1111/595/890/51529/7027
WP_GASTRIC_CANCER_NETWORK_1	WP_GASTRIC_CANCER_NETWORK_1	28	0.6688089465336148	2.191710594827273	3.1001136626164176e-6	2.759101159728612e-4	2.3903507977542378e-4	644	tags=43%, list=4%, signal=41%	11065/22974/1894/4605/7153/1063/56992/8900/4173/3020/144455/8607
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	60	0.5462471806959466	2.0678964079504385	5.010898525519248e-6	3.964177500188561e-4	3.4343702174903854e-4	5273	tags=65%, list=33%, signal=44%	58191/6696/6373/3627/7124/284340/56477/6364/6355/4312/4283/4318/6375/6374/6348/6352/6370/6351/6347/6354/6846/10673/51561/6372/3553/2919/3606/6356/3592/6367/10563/6362/3600/5008/3976/3589/4049/10148/9547
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	31	0.6428292305142921	2.1551817749962305	9.47285137308456e-6	6.744670177636208e-4	5.843253583818476e-4	2169	tags=52%, list=14%, signal=45%	25953/1329/1340/9377/1349/388753/1337/1351/1347/100131801/25994/10063/51241/80775/28958/4697
WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION	WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION	14	0.7950869442331624	2.167107608410945	1.5954435501117356e-5	9.466298397329632e-4	8.201139652328747e-4	600	tags=50%, list=4%, signal=48%	991/9232/701/699/9700/4085/1062
WP_BARDETBIEDL_SYNDROME	WP_BARDETBIEDL_SYNDROME	86	-0.41259624100409487	-1.9958363158461725	1.549437139436302e-5	9.466298397329632e-4	8.201139652328747e-4	3086	tags=40%, list=19%, signal=32%	51626/26160/129880/582/27241/57560/22897/755/92482/2736/57539/28981/49855/56623/585/11020/132884/79809/2121/374654/79659/55212/27130/123016/5310/4952/4750/406/57728/80184/583/5311/201163/27031
WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	34	0.6151502081939428	2.0945791905246427	3.4035032523214945e-5	0.00163436953844812	0.0014159381276324635	1380	tags=32%, list=9%, signal=30%	9232/151648/113130/983/9212/5347/9700/157570/151246/27127/9985
WP_PANCREATIC_CANCER_SUBTYPES	WP_PANCREATIC_CANCER_SUBTYPES	27	0.6404892853793251	2.086336682868871	3.4431942523485673e-5	0.00163436953844812	0.0014159381276324635	2440	tags=48%, list=15%, signal=41%	3855/51442/79170/93273/3872/6513/10551/1510/155465/55808/4069/6273/1474
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	100	-0.38285279035134545	-1.92383983962285	3.110556484527286e-5	0.00163436953844812	0.0014159381276324635	3979	tags=51%, list=25%, signal=38%	51057/22920/79363/54903/90410/79770/132320/51174/7289/55764/11116/79598/85302/9742/10464/11127/51626/26160/129880/11159/582/80210/84455/27241/57560/65250/57539/23552/28981/9851/8100/55125/56623/585/57534/64927/11020/132884/8481/80817/79809/2121/79659/55212/123016/60684/51175/153241/57728/583/146057
