ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	core_enrichment
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	113	-0.7341499269873316	-2.807969763709221	6.905067921527466e-23	1.2912477013256362e-20	5354/361/1114/443/1113/51440/3815/23302/9899/477/9892/6326/793/6529/760/114088/2823/4674/5334/287/5101/10529/6616/216/26289/6252/6857/2628/1428/11069/2898/2571/2104/140597/10231/6422/107/2891/1780/23136/23321/5649/8404/3800/8851/1363/5178/288/26052/3741/22998/81617/10580/2254/5175/51299/6324/26059/25840/1410/10687/22849/6304
RB_P107_DN.V1_UP	RB_P107_DN.V1_UP	124	0.5509671725677658	2.2834701053103394	6.445784538005927e-10	6.026808543035542e-8	898/55723/23397/1869/51512/8318/6241/24137/79733/256126/116372/1277/4085/23594/64105/4171/6623/1278/9055/84296/5427/64946/899/9134/140700/2175/5983/124222/1000/4016/3959/5558/1763/29107/5111/11270/10549/4240/4175/4174/1017/5982/1289/11169/3925/60681/6941/5371/2237/3619/121268
CSR_LATE_UP.V1_UP	CSR_LATE_UP.V1_UP	150	0.5185473969650692	2.172739014304471	1.5591939460216104e-9	9.718975596868039e-8	11065/4605/332/81610/2305/83540/55872/9319/55143/6241/983/63967/1580/2146/990/29128/7076/11130/26586/2175/11200/54443/3875/1000/79077/6723/55646/8089/4150/84798/1841/86/6941/2237/3608/5036/91057/2280/5424/54107/835/84955/56852/6372/55055/5557/1984/2193/6921/8317/9123/10953/4053/64785/3835/7372/84823/25844/1020/84266/5708/4828/84154/51155/10056/1503/10606/7283/51726/10589/4172/92856/10419/6627/195828/10213/2997/51728/79031
SNF5_DN.V1_UP	SNF5_DN.V1_UP	161	0.48933783013503807	2.077225964563361	9.203944182272371e-9	4.302843905212333e-7	11065/3627/10112/8817/55355/699/9212/51450/25975/362/51514/714/4232/445/8549/7852/6688/5698/9450/2209/26586/968/57650/3689/1043/389792/6348/5341/1104/8638/719/3936/3959/6510/962/57819/2870/10964/122618/2633/54892/84798/5531/4174/86/7454/6657/1524/5714/199/1436/112464/2971/124944/348/5696/135228/10859/6892/928/26270/3106/4323/55055/2533/2224/30968/6423/6891/11277
RPS14_DN.V1_DN	RPS14_DN.V1_DN	168	0.47834259066567336	2.054824537005974	2.8509290714362736e-8	1.0662474727171664e-6	4605/10874/991/10112/55635/9787/9133/55388/55872/23397/11004/586/9319/9700/9156/4288/5347/54821/79733/56992/9493/4998/9824/1894/990/1062/7083/9055/83461/29028/29968/51659/875/5831/79644/200315/23650/11013/6723/79723/26271/6234/2013/4174/23212/51337/705/79711/3619
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP	205	-0.46356846499487186	-1.9229522448384961	7.893119469080157e-8	2.4600222345299823e-6	1114/64577/2670/1113/9173/3815/477/9892/83478/6326/793/57733/4674/5101/5138/3798/6616/347/5950/6252/6857/6585/5602/27324/3769/28231/10083/10231/6926/7035/1501/1780/4916/51286/23321/3673/5649/3800/8851/5178/288/7368/26052/3741/22998/3777/2254/8605/2324/55859/6324/26059/2791/2828/9196/6935/50486/58528/23268/1594/10687/2745/11155/6304/6781/64800/117/3706/5743/1839/23462/54769/25758/2115/23143/161176/1902/23233/3290/55466/89795/11320/634/202018/2/5328/6447/8382/3764/7850/9953/7099/1056
PRC2_EZH2_UP.V1_DN	PRC2_EZH2_UP.V1_DN	164	0.4633118748983339	1.9844289936570099	2.8588757856906255e-7	7.637282456059242e-6	4605/55635/7272/55355/699/9212/9787/5368/55388/23397/3161/1063/5644/8318/81620/24137/11339/4778/6362/8438/56992/79075/10460/4001/2146/4171/1894/55057/23213/80739/56033/993/5984/78998/2619/84722/6502/5730/3625/1763/55320/3887/5959/11151/7058/65999/83463/2769/3787/9735/54517/64763
P53_DN.V1_DN	P53_DN.V1_DN	171	-0.4681237971954547	-1.8993138246425283	7.124178107505404e-7	1.665276632629388e-5	486/1113/9920/760/6285/216/771/5136/26999/3306/9172/825/9122/107/3081/23136/201229/3164/231/8013/5783/4286/24/2744/25900/9514/8745/6775/57509/11343/54504/4644/1410/7832/8869/9915/4118/1130/5797/10560/1687/1026/8092/57476/7056/7425/2674/590/35/8522/5142/7102/2593/4811/9765/3897/89795/23189/2040/3234/5332/3764/6489/3490/4692/7436/10516/6696/9770/84071/6446/54898/4897/1593/81550/9639/23111/259217
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP	111	-0.5233939844571495	-1.9891275052478727	1.0959837362219676e-6	2.277210651927866e-5	1114/1113/9173/477/9892/83478/6326/793/57733/4674/5138/3798/6616/347/5950/6252/6857/5602/27324/10083/10231/7035/1780/3673/5649/3800/8851/5178/288/26052/2254/55859/6324/26059/2828/50486/58528/2745/6781/64800/23462/25758/2115/23143/3290/55466/89795/634/202018/2/6447/8382
CAHOY_NEURONAL	CAHOY_NEURONAL	65	-0.5980920507559366	-2.090088317295062	1.5073205494491888e-6	2.818689427469983e-5	388662/7857/9899/816/793/84502/6857/2563/10268/4745/64388/3208/56978/2045/1780/60677/23314/83698/9856/80333/4621/64919/63908/54847/29953/2254/10633/6861/64130/3706/2039/57586/57699/3295/6812/2026/9615/4208/2170/4905/6804
